accuracy,actual_evidence_position,attempted_n,completed_n,condition_id,correct_n,end_to_end_success,error_n,experiment_id,failure_n,failure_rate,median_decode_tokens_per_second,median_peak_memory_bytes,median_post_first_chunk_output_tok_s,median_prefill_tokens_per_second,median_prompt_throughput_proxy_tok_s,median_stream_ttft_s,median_total_s,median_ttft_s,n,requested_evidence_position,scored_accuracy,scored_n,target_context_tokens,task_type,variant_condition_id
1.0,0.049972509197438744,10,10,baseline:ctx008192:p005,10,1.0,0,exp_001,0,0.0,1000.0,32243712.0,,4111500.0,,,0.004,0.001,10,0.05,1.0,10,8192,literal_retrieval,
1.0,0.5,10,10,baseline:ctx008192:p050,10,1.0,0,exp_001,0,0.0,1000.0,32473088.0,,4111500.0,,,0.004,0.001,10,0.5,1.0,10,8192,literal_retrieval,
1.0,0.9500274908025612,10,10,baseline:ctx008192:p095,10,1.0,0,exp_001,0,0.0,1000.0,32604160.0,,4111500.0,,,0.004,0.001,10,0.95,1.0,10,8192,literal_retrieval,
1.0,0.0499992368975306,10,10,baseline:ctx032768:p005,10,1.0,0,exp_001,0,0.0,1000.0,45531136.0,,16399500.0,,,0.004,0.001,10,0.05,1.0,10,32768,literal_retrieval,
1.0,0.5,10,10,baseline:ctx032768:p050,10,1.0,0,exp_001,0,0.0,1000.0,46710784.0,,16399500.0,,,0.004,0.001,10,0.5,1.0,10,32768,literal_retrieval,
1.0,0.9500007631024694,10,10,baseline:ctx032768:p095,10,1.0,0,exp_001,0,0.0,1000.0,46792704.0,,16399500.0,,,0.004,0.001,10,0.95,1.0,10,32768,literal_retrieval,
1.0,0.050686076810014205,10,10,baseline:ctx008192:p005,10,1.0,0,exp_001,0,0.0,1000.0,32391168.0,,4113500.0,,,0.004,0.001,10,0.05,1.0,10,8192,multi_hop,
1.0,0.5007135575942915,10,10,baseline:ctx008192:p050,10,1.0,0,exp_001,0,0.0,1000.0,32555008.0,,4113500.0,,,0.004,0.001,10,0.5,1.0,10,8192,multi_hop,
1.0,0.9506218144750255,10,10,baseline:ctx008192:p095,10,1.0,0,exp_001,0,0.0,1000.0,32686080.0,,4113500.0,,,0.004,0.001,10,0.95,1.0,10,8192,multi_hop,
1.0,0.050176584938882274,10,10,baseline:ctx032768:p005,10,1.0,0,exp_001,0,0.0,1000.0,45547520.0,,16401500.0,,,0.004,0.001,10,0.05,1.0,10,32768,multi_hop,
1.0,0.5001781116098236,10,10,baseline:ctx032768:p050,10,1.0,0,exp_001,0,0.0,1000.0,46727168.0,,16401500.0,,,0.004,0.001,10,0.5,1.0,10,32768,multi_hop,
1.0,0.950149104861938,10,10,baseline:ctx032768:p095,10,1.0,0,exp_001,0,0.0,1000.0,46858240.0,,16401500.0,,,0.004,0.001,10,0.95,1.0,10,32768,multi_hop,
1.0,0.04998777804937668,10,10,baseline:ctx008192:p005,10,1.0,0,exp_001,0,0.0,1000.0,32358400.0,,4110750.0,,,0.004,0.001,10,0.05,1.0,10,8192,semantic_retrieval,
1.0,0.5,10,10,baseline:ctx008192:p050,10,1.0,0,exp_001,0,0.0,1000.0,32522240.0,,4110750.0,,,0.004,0.001,10,0.5,1.0,10,8192,semantic_retrieval,
1.0,0.9500122219506233,10,10,baseline:ctx008192:p095,10,1.0,0,exp_001,0,0.0,1000.0,32653312.0,,4110750.0,,,0.004,0.001,10,0.95,1.0,10,8192,semantic_retrieval,
1.0,0.05000305268941938,10,10,baseline:ctx032768:p005,10,1.0,0,exp_001,0,0.0,1000.0,45531136.0,,16398750.0,,,0.004,0.001,10,0.05,1.0,10,32768,semantic_retrieval,
1.0,0.5,10,10,baseline:ctx032768:p050,10,1.0,0,exp_001,0,0.0,1000.0,46727168.0,,16398750.0,,,0.004,0.001,10,0.5,1.0,10,32768,semantic_retrieval,
1.0,0.9499969473105806,10,10,baseline:ctx032768:p095,10,1.0,0,exp_001,0,0.0,1000.0,46800896.0,,16398750.0,,,0.004,0.001,10,0.95,1.0,10,32768,semantic_retrieval,
