accuracy,actual_evidence_position,attempted_n,completed_n,condition_id,correct_n,end_to_end_success,error_n,experiment_id,failure_n,failure_rate,median_decode_tokens_per_second,median_peak_memory_bytes,median_post_first_chunk_output_tok_s,median_prefill_tokens_per_second,median_prompt_throughput_proxy_tok_s,median_stream_ttft_s,median_total_s,median_ttft_s,n,requested_evidence_position,scored_accuracy,scored_n,target_context_tokens,task_type,variant_condition_id
0.0,0.499755859375,5,5,q4_k_m:ctx32768,0,0.0,0,exp_002,0,0.0,,30764630016.0,10.274446818679484,,97.8700289587292,335.24052612506784,336.31237475015223,335.24052612506784,5,0.5,0.0,5,32768,literal_retrieval,q4_k_m
0.0,0.4990234375,5,5,q4_k_m:ctx8192,0,0.0,0,exp_002,0,0.0,,30764630016.0,11.811293121169832,,105.83002951483302,77.80400362494402,78.73531570797786,77.80400362494402,5,0.5,0.0,5,8192,literal_retrieval,q4_k_m
0.0,0.499755859375,5,5,q5_k_m:ctx32768,0,0.0,0,exp_002,0,0.0,,30764630016.0,8.778462336693167,,88.8119534878259,369.4322522080038,370.6853190411348,369.4322522080038,5,0.5,0.0,5,32768,literal_retrieval,q5_k_m
0.0,0.4990234375,5,5,q5_k_m:ctx8192,0,0.0,0,exp_002,0,0.0,,30764630016.0,9.980717933403161,,100.66962411428078,81.79229904199019,82.92900608293712,81.79229904199019,5,0.5,0.0,5,8192,literal_retrieval,q5_k_m
0.0,0.499755859375,5,5,q6_k:ctx32768,0,0.0,0,exp_002,0,0.0,,30764630016.0,8.479040342110736,,95.13549378756035,344.8765407500323,346.1893067921046,344.8765407500323,5,0.5,0.0,5,32768,literal_retrieval,q6_k
0.0,0.4990234375,5,5,q6_k:ctx8192,0,0.0,0,exp_002,0,0.0,,30764630016.0,9.936794463423057,,107.17778561675355,76.82562158396468,77.93219149997458,76.82562158396468,5,0.5,0.0,5,8192,literal_retrieval,q6_k
0.0,0.499755859375,5,5,q8_0:ctx32768,0,0.0,0,exp_002,0,0.0,,30761517056.0,7.155298376027294,,100.76539365548291,325.60781841608696,327.1432978750672,325.60781841608696,5,0.5,0.0,5,32768,literal_retrieval,q8_0
0.0,0.4990234375,5,5,q8_0:ctx8192,0,0.0,0,exp_002,0,0.0,,30685052928.0,7.976394946573458,,114.6884236418369,71.79451716691256,73.16977216722444,71.79451716691256,5,0.5,0.0,5,8192,literal_retrieval,q8_0
1.0,0.4997965494791667,5,5,q4_k_m:ctx32768,5,1.0,0,exp_002,0,0.0,,30764630016.0,10.250514897427069,,98.03184287214714,334.7585747500416,335.2463551249821,334.7585747500416,5,0.5,1.0,5,32768,multi_hop,q4_k_m
1.0,0.4991861979166667,5,5,q4_k_m:ctx8192,5,1.0,0,exp_002,0,0.0,,30764630016.0,11.805699436303328,,105.70817140187354,77.95991445798427,78.39598808297887,77.95991445798427,5,0.5,1.0,5,8192,multi_hop,q4_k_m
1.0,0.4997965494791667,5,5,q5_k_m:ctx32768,5,1.0,0,exp_002,0,0.0,,30764630016.0,8.822055617883654,,87.89054656641524,373.38486654195003,373.94244308397174,373.38486654195003,5,0.5,1.0,5,32768,multi_hop,q5_k_m
1.0,0.4991861979166667,5,5,q5_k_m:ctx8192,5,1.0,0,exp_002,0,0.0,,30764630016.0,9.979849862822654,,99.79334396187001,82.5806579159107,83.06517066597007,82.5806579159107,5,0.5,1.0,5,8192,multi_hop,q5_k_m
1.0,0.4997965494791667,5,5,q6_k:ctx32768,5,1.0,0,exp_002,0,0.0,,30764630016.0,8.48763139853601,,95.14743972948321,344.9068108748179,345.49590337486006,344.9068108748179,5,0.5,1.0,5,32768,multi_hop,q6_k
1.0,0.4991861979166667,5,5,q6_k:ctx8192,5,1.0,0,exp_002,0,0.0,,30764630016.0,9.882905696172388,,107.26743877704875,76.82666887505911,77.33320041699335,76.82666887505911,5,0.5,1.0,5,8192,multi_hop,q6_k
1.0,0.4997965494791667,5,5,q8_0:ctx32768,5,1.0,0,exp_002,0,0.0,,30761517056.0,7.147156076933865,,100.84748496047001,325.4121807089541,326.11220541689545,325.4121807089541,5,0.5,1.0,5,32768,multi_hop,q8_0
1.0,0.4991861979166667,5,5,q8_0:ctx8192,5,1.0,0,exp_002,0,0.0,,30691016704.0,8.07382328011577,,114.66524584098357,71.8700765829999,72.49046883312985,71.8700765829999,5,0.5,1.0,5,8192,multi_hop,q8_0
0.0,0.49981689453125,5,5,q4_k_m:ctx32768,0,0.0,0,exp_002,0,0.0,,30764630016.0,10.24513696290592,,98.10287792443764,334.42443987494335,335.01008358295076,334.42443987494335,5,0.5,0.0,5,32768,semantic_retrieval,q4_k_m
0.0,0.499267578125,5,5,q4_k_m:ctx8192,0,0.0,0,exp_002,0,0.0,,30764630016.0,11.948240224256184,,107.66996636155383,76.4558611670509,76.96330820792355,76.4558611670509,5,0.5,0.0,5,8192,semantic_retrieval,q4_k_m
0.0,0.49981689453125,5,5,q5_k_m:ctx32768,0,0.0,0,exp_002,0,0.0,,30764630016.0,8.826926052071157,,87.74067742601198,373.92006720788777,374.6066000829451,373.92006720788777,5,0.5,0.0,5,32768,semantic_retrieval,q5_k_m
0.0,0.499267578125,5,5,q5_k_m:ctx8192,0,0.0,0,exp_002,0,0.0,,30764630016.0,10.312094844057256,,99.77042455064495,82.50942137488164,83.07262445893139,82.50942137488164,5,0.5,0.0,5,8192,semantic_retrieval,q5_k_m
0.0,0.49981689453125,5,5,q6_k:ctx32768,0,0.0,0,exp_002,0,0.0,,30764630016.0,8.51262356338135,,95.1407049632654,344.8366292079445,345.541464791866,344.8366292079445,5,0.5,0.0,5,32768,semantic_retrieval,q6_k
0.0,0.499267578125,5,5,q6_k:ctx8192,0,0.0,0,exp_002,0,0.0,,30764630016.0,9.874910250867165,,107.22436093305556,76.77359816711396,77.37826616712846,76.77359816711396,5,0.5,0.0,5,8192,semantic_retrieval,q6_k
0.0,0.49981689453125,5,5,q8_0:ctx32768,0,0.0,0,exp_002,0,0.0,,30761517056.0,7.128039942779654,,100.73032402990208,325.7013249581214,326.543071083026,325.7013249581214,5,0.5,0.0,5,32768,semantic_retrieval,q8_0
0.0,0.499267578125,5,5,q8_0:ctx8192,0,0.0,0,exp_002,0,0.0,,30688051200.0,8.088333586554192,,114.65613580555703,71.79729145905003,72.5503557920456,71.79729145905003,5,0.5,0.0,5,8192,semantic_retrieval,q8_0
