accuracy,accuracy_degradation,actual_evidence_position,answer_bearing_accuracy,answer_bearing_correct_n,answer_bearing_scored_n,artifact_sha256,artifact_size_bytes,artifact_uri,attempted_n,completed_n,condition_id,context_instance_id,context_sha256,correct_n,end_to_end_success,error_n,exact_accuracy,exact_correct_n,exact_scored_n,experiment_id,failure_n,failure_rate,format_scored_n,format_valid_n,format_validity,invalid_output_n,median_decode_tokens_per_second,median_peak_memory_bytes,median_post_first_chunk_output_tok_s,median_prefill_tokens_per_second,median_prompt_throughput_proxy_tok_s,median_stream_ttft_s,median_total_s,median_ttft_s,n,quantization_type,relative_degradation,requested_evidence_position,runtime_error_n,scored_accuracy,scored_n,scorer_error_n,scorer_version,short_context_baseline_accuracy,target_context_tokens,task_catalog,task_catalog_sha256,task_id,task_type,variant_condition_id,variant_label
0.0,0.0,0.4990234375,1.0,1,1,8b259e30f860c924fa1fd12d459343e8c2520eb12741f943ad5dcea5d1c4d120,16810714336,artifacts/q4_k_m.gguf,1,1,q4_k_m:ctx008192:p050,task.literal.000001:baseline:ctx008192:p050:seed1043,c3ebbc47848d1dad8594046b23538278b62080373e923c75c6fd6db179d394fc,0,0.0,0,0.0,0,1,exp_003,0,0.0,1,0,0.0,0,,18881298432.0,12.28716500844757,,108.95398252693768,75.57318979105912,76.46843291609548,75.57318979105912,1,Q4_K_M,,0.5,0,0.0,1,0,calibrated.v1,0.0,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.literal.000001,literal_retrieval,q4_k_m,Q4_K_M
0.0,0.0,0.4990234375,1.0,1,1,8b259e30f860c924fa1fd12d459343e8c2520eb12741f943ad5dcea5d1c4d120,16810714336,artifacts/q4_k_m.gguf,1,1,q4_k_m:ctx008192:p050,task.literal.000002:baseline:ctx008192:p050:seed1046,59cf70db445f33566d2e890d8460fddecf37a36b0d314e0dcc16d25bb813b90b,0,0.0,0,0.0,0,1,exp_003,0,0.0,1,0,0.0,0,,18881298432.0,12.022089496659326,,106.79996282986315,77.11613170802593,78.03111408301629,77.11613170802593,1,Q4_K_M,,0.5,0,0.0,1,0,calibrated.v1,0.0,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.literal.000002,literal_retrieval,q4_k_m,Q4_K_M
0.0,0.0,0.4990234375,1.0,1,1,8b259e30f860c924fa1fd12d459343e8c2520eb12741f943ad5dcea5d1c4d120,16810714336,artifacts/q4_k_m.gguf,1,1,q4_k_m:ctx008192:p050,task.literal.000003:baseline:ctx008192:p050:seed1047,e4ef253445550dfb5cb0c8e744d49371219f859588953c7e9a2342913b455996,0,0.0,0,0.0,0,1,exp_003,0,0.0,1,0,0.0,0,,18881298432.0,12.277034972916827,,105.11533800238438,78.36154225002974,79.17607116699219,78.36154225002974,1,Q4_K_M,,0.5,0,0.0,1,0,calibrated.v1,0.0,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.literal.000003,literal_retrieval,q4_k_m,Q4_K_M
0.0,0.0,0.499267578125,1.0,1,1,8b259e30f860c924fa1fd12d459343e8c2520eb12741f943ad5dcea5d1c4d120,16810714336,artifacts/q4_k_m.gguf,1,1,q4_k_m:ctx008192:p050,task.literal.000004:baseline:ctx008192:p050:seed1048,1597623490d80fd77f0aec3c16a336f4ca490d89befbb16b5d964a32260fe67b,0,0.0,0,0.0,0,1,exp_003,0,0.0,1,0,0.0,0,,18881298432.0,12.243972015132984,,105.25994344103175,78.23488908307627,78.9699446670711,78.23488908307627,1,Q4_K_M,,0.5,0,0.0,1,0,calibrated.v1,0.0,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.literal.000004,literal_retrieval,q4_k_m,Q4_K_M
1.0,0.0,0.4991455078125,1.0,1,1,8b259e30f860c924fa1fd12d459343e8c2520eb12741f943ad5dcea5d1c4d120,16810714336,artifacts/q4_k_m.gguf,1,1,q4_k_m:ctx008192:p050,task.literal.000005:baseline:ctx008192:p050:seed1049,06578bbf5cac04e1947b3e17f72801d6f9fd06bdeb346df600addffaa15e3336,1,1.0,0,1.0,1,1,exp_003,0,0.0,1,1,1.0,0,,18881298432.0,12.219914929575136,,105.64981000464229,77.917792749824,78.5724617918022,77.917792749824,1,Q4_K_M,0.0,0.5,0,1.0,1,0,calibrated.v1,1.0,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.literal.000005,literal_retrieval,q4_k_m,Q4_K_M
0.0,0.0,0.4990234375,1.0,1,1,8b259e30f860c924fa1fd12d459343e8c2520eb12741f943ad5dcea5d1c4d120,16810714336,artifacts/q4_k_m.gguf,1,1,q4_k_m:ctx008192:p050,task.literal.000006:baseline:ctx008192:p050:seed1050,319a9c77b5713f5e12b087a38eb23b1a61d95728696241bc03f96710d51b99cf,0,0.0,0,0.0,0,1,exp_003,0,0.0,1,0,0.0,0,,18881314816.0,12.277670257272073,,105.5533269209778,77.9984889170155,78.97587304189801,77.9984889170155,1,Q4_K_M,,0.5,0,0.0,1,0,calibrated.v1,0.0,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.literal.000006,literal_retrieval,q4_k_m,Q4_K_M
0.0,0.0,0.4990234375,1.0,1,1,8b259e30f860c924fa1fd12d459343e8c2520eb12741f943ad5dcea5d1c4d120,16810714336,artifacts/q4_k_m.gguf,1,1,q4_k_m:ctx008192:p050,task.literal.000007:baseline:ctx008192:p050:seed1051,dd71185bbe15ced643f6c7befa256ecd01a649aebba1fb425daac9e0b4f08f05,0,0.0,0,0.0,0,1,exp_003,0,0.0,1,0,0.0,0,,18881298432.0,12.213430923910899,,105.66321882679814,77.93629695777781,78.75506770797074,77.93629695777781,1,Q4_K_M,,0.5,0,0.0,1,0,calibrated.v1,0.0,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.literal.000007,literal_retrieval,q4_k_m,Q4_K_M
0.0,0.0,0.499267578125,1.0,1,1,8b259e30f860c924fa1fd12d459343e8c2520eb12741f943ad5dcea5d1c4d120,16810714336,artifacts/q4_k_m.gguf,1,1,q4_k_m:ctx008192:p050,task.literal.000008:baseline:ctx008192:p050:seed1052,0b8da0e3d7567197749c118e24394d5719e58d00b33e5111f1b9750b8d80c532,0,0.0,0,0.0,0,1,exp_003,0,0.0,1,0,0.0,0,,18881298432.0,12.186460976470832,,105.64865297384108,77.92811141698621,78.666635917034,77.92811141698621,1,Q4_K_M,,0.5,0,0.0,1,0,calibrated.v1,0.0,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.literal.000008,literal_retrieval,q4_k_m,Q4_K_M
1.0,0.0,0.4991455078125,1.0,1,1,8b259e30f860c924fa1fd12d459343e8c2520eb12741f943ad5dcea5d1c4d120,16810714336,artifacts/q4_k_m.gguf,1,1,q4_k_m:ctx008192:p050,task.literal.000009:baseline:ctx008192:p050:seed1053,ffe69cfebdd850744b110b99f1d9d548fb1799888a257bad98db93476fed2441,1,1.0,0,1.0,1,1,exp_003,0,0.0,1,1,1.0,0,,18881298432.0,12.267169320895384,,105.6686700120551,77.93227641703561,78.50290520815179,77.93227641703561,1,Q4_K_M,0.0,0.5,0,1.0,1,0,calibrated.v1,1.0,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.literal.000009,literal_retrieval,q4_k_m,Q4_K_M
0.0,0.0,0.4991455078125,1.0,1,1,8b259e30f860c924fa1fd12d459343e8c2520eb12741f943ad5dcea5d1c4d120,16810714336,artifacts/q4_k_m.gguf,1,1,q4_k_m:ctx008192:p050,task.literal.000010:baseline:ctx008192:p050:seed1054,bf24acdd2f9db0aaaf99460141fdd23a417dd815152e1409f5836bea4d4a7dfe,0,0.0,0,0.0,0,1,exp_003,0,0.0,1,0,0.0,0,,18881331200.0,12.22518450880428,,105.53184719470758,78.02384037501179,78.76002558297478,78.02384037501179,1,Q4_K_M,,0.5,0,0.0,1,0,calibrated.v1,0.0,8192,data/tasks/core.v002.jsonl,7631adc23aab29b0a1b06fae51267a940aa9f86d58dbe830724a3a2bc8703512,task.literal.000010,literal_retrieval,q4_k_m,Q4_K_M
