accuracy,actual_evidence_position,attempted_n,completed_n,condition_id,context_instance_id,context_sha256,correct_n,end_to_end_success,error_n,experiment_id,failure_n,failure_rate,median_decode_tokens_per_second,median_peak_memory_bytes,median_post_first_chunk_output_tok_s,median_prefill_tokens_per_second,median_prompt_throughput_proxy_tok_s,median_stream_ttft_s,median_total_s,median_ttft_s,n,requested_evidence_position,scored_accuracy,scored_n,target_context_tokens,task_type,variant_condition_id
0.0,0.0499267578125,1,1,q4_k_m:ctx008192:p005,task.literal.000001:seed1043:ctx8192:p005,68938e17833fdb280cbfad17aca7e81937e16c7db0061117f7261774a8de9d75,0,0.0,0,exp_003,0,0.0,,30790746112.0,12.255600065347338,,110.06479857823825,74.8104762500152,75.54483441705815,74.8104762500152,1,0.05,0.0,1,8192,literal_retrieval,q4_k_m
0.0,0.4990234375,1,1,q4_k_m:ctx008192:p050,task.literal.000001:seed1043:ctx8192:p050,c3ebbc47848d1dad8594046b23538278b62080373e923c75c6fd6db179d394fc,0,0.0,0,exp_003,0,0.0,,30790746112.0,12.215881268501413,,107.28639350618293,76.74784966581501,77.64831683295779,76.74784966581501,1,0.5,0.0,1,8192,literal_retrieval,q4_k_m
0.0,0.04998779296875,1,1,q4_k_m:ctx032768:p005,task.literal.000001:seed1043:ctx32768:p005,8e99d4533d12ba622db39af23e6c7971491388f8ee5a7a2cbfea0520605fa81b,0,0.0,0,exp_003,0,0.0,,30790746112.0,10.256315782677564,,94.82172029888164,346.01776783401147,346.8952759169042,346.01776783401147,1,0.05,0.0,1,32768,literal_retrieval,q4_k_m
0.0,0.499755859375,1,1,q4_k_m:ctx032768:p050,task.literal.000001:seed1043:ctx32768:p050,742a7775efbfdc8d4bbba7f3ceed53d016a9c5b129f96366186a71ac8e1982fd,0,0.0,0,exp_003,0,0.0,,30790746112.0,10.22797181127596,,94.89119280844349,345.7644384999294,346.83992054103874,345.7644384999294,1,0.5,0.0,1,32768,literal_retrieval,q4_k_m
0.0,0.0499267578125,1,1,q5_k_m:ctx008192:p005,task.literal.000001:seed1043:ctx8192:p005,68938e17833fdb280cbfad17aca7e81937e16c7db0061117f7261774a8de9d75,0,0.0,0,exp_003,0,0.0,,30790746112.0,10.678447241834627,,102.04569625819093,80.68934116698802,81.53216033312492,80.68934116698802,1,0.05,0.0,1,8192,literal_retrieval,q5_k_m
0.0,0.4990234375,1,1,q5_k_m:ctx008192:p050,task.literal.000001:seed1043:ctx8192:p050,c3ebbc47848d1dad8594046b23538278b62080373e923c75c6fd6db179d394fc,0,0.0,0,exp_003,0,0.0,,30790746112.0,10.10074343692554,,99.45328663785277,82.79263841710053,83.88166716718115,82.79263841710053,1,0.5,0.0,1,8192,literal_retrieval,q5_k_m
0.0,0.04998779296875,1,1,q5_k_m:ctx032768:p005,task.literal.000001:seed1043:ctx32768:p005,8e99d4533d12ba622db39af23e6c7971491388f8ee5a7a2cbfea0520605fa81b,0,0.0,0,exp_003,0,0.0,,30790746112.0,8.82683045654748,,88.85753036664677,369.24276270810515,370.26238125003874,369.24276270810515,1,0.05,0.0,1,32768,literal_retrieval,q5_k_m
0.0,0.499755859375,1,1,q5_k_m:ctx032768:p050,task.literal.000001:seed1043:ctx32768:p050,742a7775efbfdc8d4bbba7f3ceed53d016a9c5b129f96366186a71ac8e1982fd,0,0.0,0,exp_003,0,0.0,,30790746112.0,8.853433124686868,,89.01939365932812,368.57137137511745,369.8138272501528,368.57137137511745,1,0.5,0.0,1,32768,literal_retrieval,q5_k_m
0.0,0.0499267578125,1,1,q6_k:ctx008192:p005,task.literal.000001:seed1043:ctx8192:p005,68938e17833fdb280cbfad17aca7e81937e16c7db0061117f7261774a8de9d75,0,0.0,0,exp_003,0,0.0,,30790746112.0,9.895726529868565,,107.65723766740876,76.48347829096019,77.39296179101802,76.48347829096019,1,0.05,0.0,1,8192,literal_retrieval,q6_k
0.0,0.4990234375,1,1,q6_k:ctx008192:p050,task.literal.000001:seed1043:ctx8192:p050,c3ebbc47848d1dad8594046b23538278b62080373e923c75c6fd6db179d394fc,0,0.0,0,exp_003,0,0.0,,30790746112.0,9.820609454664162,,104.40218449736243,78.86808154103346,79.98817495792173,78.86808154103346,1,0.5,0.0,1,8192,literal_retrieval,q6_k
0.0,0.04998779296875,1,1,q6_k:ctx032768:p005,task.literal.000001:seed1043:ctx32768:p005,8e99d4533d12ba622db39af23e6c7971491388f8ee5a7a2cbfea0520605fa81b,0,0.0,0,exp_003,0,0.0,,30790746112.0,8.485233748465147,,92.66459938775624,354.07264712499455,355.13331325002946,354.07264712499455,1,0.05,0.0,1,32768,literal_retrieval,q6_k
0.0,0.499755859375,1,1,q6_k:ctx032768:p050,task.literal.000001:seed1043:ctx32768:p050,742a7775efbfdc8d4bbba7f3ceed53d016a9c5b129f96366186a71ac8e1982fd,0,0.0,0,exp_003,0,0.0,,30790746112.0,8.485811145049771,,92.56775217629419,354.4430887498893,355.7393702499103,354.4430887498893,1,0.5,0.0,1,32768,literal_retrieval,q6_k
0.0,0.0499267578125,1,1,q8_0:ctx008192:p005,task.literal.000001:seed1043:ctx8192:p005,68938e17833fdb280cbfad17aca7e81937e16c7db0061117f7261774a8de9d75,0,0.0,0,exp_003,0,0.0,,30704762880.0,7.849395107889213,,117.6068724699175,70.01291529205628,71.15950045897625,70.01291529205628,1,0.05,0.0,1,8192,literal_retrieval,q8_0
0.0,0.4990234375,1,1,q8_0:ctx008192:p050,task.literal.000001:seed1043:ctx8192:p050,c3ebbc47848d1dad8594046b23538278b62080373e923c75c6fd6db179d394fc,0,0.0,0,exp_003,0,0.0,,30714167296.0,7.894524371661679,,113.33118036460964,72.65432137483731,74.04769220785238,72.65432137483731,1,0.5,0.0,1,8192,literal_retrieval,q8_0
