accuracy,actual_evidence_position,attempted_n,completed_n,condition_id,correct_n,end_to_end_success,error_n,experiment_id,failure_n,failure_rate,median_decode_tokens_per_second,median_peak_memory_bytes,median_post_first_chunk_output_tok_s,median_prefill_tokens_per_second,median_prompt_throughput_proxy_tok_s,median_stream_ttft_s,median_total_s,median_ttft_s,n,requested_evidence_position,scored_accuracy,scored_n,target_context_tokens,task_type,variant_condition_id
1.0,,10,5,q4_k_m:traj0004:p005,5,0.5,5,exp_004,5,0.5,,,,,,,24.497665770933963,9.98254508303944,10,,1.0,5,,agent_state_tracking,q4_k_m
,,10,0,q4_k_m:traj0004:p025,0,0.0,10,exp_004,10,1.0,,,,,,,34.06283387565054,14.595921749831177,10,,,0,,agent_state_tracking,q4_k_m
1.0,,10,5,q4_k_m:traj0004:p050,5,0.5,5,exp_004,5,0.5,,,,,,,28.497265479061753,12.248250124976039,10,,1.0,5,,agent_state_tracking,q4_k_m
1.0,,10,5,q4_k_m:traj0004:p075,5,0.5,5,exp_004,5,0.5,,,,,,,28.500816395506263,12.2426628745161,10,,1.0,5,,agent_state_tracking,q4_k_m
1.0,,10,10,q4_k_m:traj0004:p095,10,1.0,0,exp_004,0,0.0,,,,,,,17.86044010403566,7.719902876066044,10,,1.0,10,,agent_state_tracking,q4_k_m
1.0,,10,5,q4_k_m:traj0008:p005,5,0.5,5,exp_004,5,0.5,,,,,,,33.35119441698771,15.964441791875288,10,,1.0,5,,agent_state_tracking,q4_k_m
1.0,,10,5,q4_k_m:traj0008:p025,5,0.5,5,exp_004,5,0.5,,,,,,,25.419121979619376,11.423071583150886,10,,1.0,5,,agent_state_tracking,q4_k_m
1.0,,10,10,q4_k_m:traj0008:p050,10,1.0,0,exp_004,0,0.0,,,,,,,22.661299916682765,10.696112354286015,10,,1.0,10,,agent_state_tracking,q4_k_m
1.0,,10,10,q4_k_m:traj0008:p075,10,1.0,0,exp_004,0,0.0,,,,,,,22.723193458048627,10.725486167124473,10,,1.0,10,,agent_state_tracking,q4_k_m
1.0,,10,10,q4_k_m:traj0008:p095,10,1.0,0,exp_004,0,0.0,,,,,,,28.28226572915446,13.874292916385457,10,,1.0,10,,agent_state_tracking,q4_k_m
1.0,,10,10,q4_k_m:traj0016:p005,10,1.0,0,exp_004,0,0.0,,,,,,,16.679446333553642,7.438942604581825,10,,1.0,10,,agent_state_tracking,q4_k_m
1.0,,10,10,q4_k_m:traj0016:p025,10,1.0,0,exp_004,0,0.0,,,,,,,29.279422916588373,15.369182166294195,10,,1.0,10,,agent_state_tracking,q4_k_m
1.0,,10,5,q4_k_m:traj0016:p050,5,0.5,5,exp_004,5,0.5,,,,,,,44.20963066758122,23.465717896004207,10,,1.0,5,,agent_state_tracking,q4_k_m
1.0,,10,10,q4_k_m:traj0016:p075,10,1.0,0,exp_004,0,0.0,,,,,,,31.76469260500744,17.29214858415071,10,,1.0,10,,agent_state_tracking,q4_k_m
1.0,,10,10,q4_k_m:traj0016:p095,10,1.0,0,exp_004,0,0.0,,,,,,,33.601335979648866,18.099639541702345,10,,1.0,10,,agent_state_tracking,q4_k_m
1.0,,10,10,q8_0:traj0004:p005,10,1.0,0,exp_004,0,0.0,,,,,,,25.32209079049062,7.530328124528751,10,,1.0,10,,agent_state_tracking,q8_0
1.0,,10,5,q8_0:traj0004:p025,5,0.5,5,exp_004,5,0.5,,,,,,,39.13296320824884,15.754510729457252,10,,1.0,5,,agent_state_tracking,q8_0
1.0,,10,10,q8_0:traj0004:p050,10,1.0,0,exp_004,0,0.0,,,,,,,29.290267770411447,9.169436436961405,10,,1.0,10,,agent_state_tracking,q8_0
1.0,,10,10,q8_0:traj0004:p075,10,1.0,0,exp_004,0,0.0,,,,,,,29.328464208054356,9.179203792125918,10,,1.0,10,,agent_state_tracking,q8_0
1.0,,10,10,q8_0:traj0004:p095,10,1.0,0,exp_004,0,0.0,,,,,,,28.66088958340697,9.195221000001766,10,,1.0,10,,agent_state_tracking,q8_0
1.0,,10,5,q8_0:traj0008:p005,5,0.5,5,exp_004,5,0.5,,,,,,,32.44815385469701,10.453649354400113,10,,1.0,5,,agent_state_tracking,q8_0
1.0,,10,5,q8_0:traj0008:p025,5,0.5,5,exp_004,5,0.5,,,,,,,42.6288177712122,15.269450917141512,10,,1.0,5,,agent_state_tracking,q8_0
1.0,,10,10,q8_0:traj0008:p050,10,1.0,0,exp_004,0,0.0,,,,,,,35.56422627042048,12.530793707817793,10,,1.0,10,,agent_state_tracking,q8_0
1.0,,10,10,q8_0:traj0008:p075,10,1.0,0,exp_004,0,0.0,,,,,,,45.00572518748231,17.759360958007164,10,,1.0,10,,agent_state_tracking,q8_0
1.0,,10,10,q8_0:traj0008:p095,10,1.0,0,exp_004,0,0.0,,,,,,,28.850120040937327,10.51668335404247,10,,1.0,10,,agent_state_tracking,q8_0
1.0,,10,5,q8_0:traj0016:p005,5,0.5,5,exp_004,5,0.5,,,,,,,36.596456666942686,15.207363478490151,10,,1.0,5,,agent_state_tracking,q8_0
1.0,,10,5,q8_0:traj0016:p025,5,0.5,5,exp_004,5,0.5,,,,,,,44.87569256185088,17.847866311552934,10,,1.0,5,,agent_state_tracking,q8_0
1.0,,10,5,q8_0:traj0016:p050,5,0.5,5,exp_004,5,0.5,,,,,,,39.9291830828879,14.99829347897321,10,,1.0,5,,agent_state_tracking,q8_0
1.0,,10,5,q8_0:traj0016:p075,5,0.5,5,exp_004,5,0.5,,,,,,,46.23507052147761,19.626974146114662,10,,1.0,5,,agent_state_tracking,q8_0
1.0,,10,5,q8_0:traj0016:p095,5,0.5,5,exp_004,5,0.5,,,,,,,48.49222695839126,20.43790441704914,10,,1.0,5,,agent_state_tracking,q8_0
